IMIĘ PIERWSZE,LICZBA WYSTĄPIENIEŃ
ZOFIA,5714
ZUZANNA,5558
HANNA,5261
LAURA,5095
MAJA,4979
JULIA,4936
OLIWIA,4440
ALICJA,4261
POLA,4087
LENA,3811
MARIA,3732
EMILIA,3188
AMELIA,3143
ANTONINA,3133
WIKTORIA,3037
LILIANA,2860
IGA,2847
MICHALINA,2749
MARCELINA,2720
HELENA,2680
KLARA,2523
ALEKSANDRA,2370
GABRIELA,2220
ANNA,1965
KORNELIA,1927
ŁUCJA,1862
BLANKA,1853
NELA,1840
NADIA,1792
NATALIA,1734
JAGODA,1554
LILIANNA,1472
MILENA,1467
ANASTAZJA,1297
MIA,1217
KAJA,1213
NIKOLA,1109
NINA,1102
WERONIKA,1081
RÓŻA,1074
ROZALIA,1072
ANIELA,1039
SARA,998
BARBARA,993
MATYLDA,968
KAROLINA,887
MARTYNA,840
LIWIA,821
AGATA,811
ELIZA,756
MAGDALENA,723
ADRIANNA,687
AURELIA,678
KINGA,668
GAJA,640
WANDA,594
MARIANNA,571
KALINA,535
IZABELA,520
BIANKA,507
DIANA,499
MELANIA,495
JOANNA,492
MAŁGORZATA,470
LIDIA,467
EWA,459
ZOJA,457
PAULINA,437
DOMINIKA,437
URSZULA,421
KATARZYNA,412
APOLONIA,406
SOFIA,404
MARTA,400
IDA,374
MILANA,364
MALWINA,347
NEL,345
DARIA,340
JAGNA,327
PATRYCJA,325
KLAUDIA,307
STEFANIA,298
OLIVIA,297
OLGA,287
ELENA,277
LUIZA,272
EMMA,268
RITA,268
JAŚMINA,260
KAMILA,253
LEA,249
LILIA,248
LARA,244
SOFIIA,237
DOROTA,236
JADWIGA,224
ADA,223
ALINA,219
MARIKA,211
FELICJA,208
ZLATA,208
ADELA,205
POLINA,202
LILA,188
ALISA,186
EVA,172
TOLA,166
JANINA,164
KIRA,163
CELINA,161
SANDRA,153
INGA,153
MONIKA,148
VICTORIA,148
ADELINA,144
MARIIA,143
VERONIKA,141
AGNIESZKA,141
ELŻBIETA,138
MILA,137
KARINA,130
FRANCISZKA,127
ARINA,124
EWELINA,122
JUSTYNA,119
NOEMI,117
DAGMARA,114
GLORIA,113
EMILIIA,112
SONIA,111
MARLENA,107
ROKSANA,105
ESTERA,102
VIKTORIIA,102
KRYSTYNA,102
AURORA,101
KONSTANCJA,101
LIVIA,98
FLORENTYNA,97
