Nazwisko,Liczba wystąpień
NOWAK,139325
KOWALSKA,89885
WIŚNIEWSKA,70701
WÓJCIK,63894
KOWALCZYK,62407
KAMIŃSKA,60965
LEWANDOWSKA,60468
DĄBROWSKA,59520
ZIELIŃSKA,58929
SZYMAŃSKA,57725
WOŹNIAK,56867
KOZŁOWSKA,48989
JANKOWSKA,44250
KWIATKOWSKA,43122
WOJCIECHOWSKA,43039
MAZUR,42846
KRAWCZYK,41172
PIOTROWSKA,40020
KACZMAREK,40003
GRABOWSKA,37556
PAWŁOWSKA,35874
MICHALSKA,35591
ZAJĄC,35054
KRÓL,34519
NOWAKOWSKA,34123
WIECZOREK,33083
JABŁOŃSKA,32447
WRÓBEL,32054
ADAMCZYK,32031
MAJEWSKA,32005
DUDEK,31360
NOWICKA,31293
OLSZEWSKA,30823
JAWORSKA,30442
MALINOWSKA,30344
STĘPIEŃ,30100
GÓRSKA,29229
PAWLAK,29116
WITKOWSKA,28926
WALCZAK,28427
RUTKOWSKA,28246
SIKORA,28245
MICHALAK,27533
SZEWCZYK,27327
OSTROWSKA,27086
BARAN,26862
TOMASZEWSKA,26100
PIETRZAK,25436
WRÓBLEWSKA,25043
ZALEWSKA,24936
MARCINIAK,24912
JASIŃSKA,24796
DUDA,24548
JAKUBOWSKA,24478
ZAWADZKA,24396
SADOWSKA,24246
BĄK,23204
WŁODARCZYK,23174
CHMIELEWSKA,22918
BORKOWSKA,22824
WILK,22417
SOKOŁOWSKA,22398
SZCZEPAŃSKA,21976
SAWICKA,21897
KUCHARSKA,21413
LIS,21168
MACIEJEWSKA,20993
KUBIAK,20758
CZARNECKA,20741
KALINOWSKA,20686
MAZUREK,20674
WYSOCKA,20580
URBAŃSKA,19838
KOŁODZIEJ,19803
KAŹMIERCZAK,19439
SOBCZAK,18340
GŁOWACKA,18215
KRAJEWSKA,18108
ZAKRZEWSKA,18097
SIKORSKA,18081
ADAMSKA,17932
WASILEWSKA,17862
KRUPA,17819
ZIÓŁKOWSKA,17647
GAJEWSKA,17609
LASKOWSKA,17520
MAKOWSKA,17425
SZULC,17311
CZERWIŃSKA,17283
SZYMCZAK,17170
PRZYBYLSKA,17112
BRZEZIŃSKA,17111
MRÓZ,17060
BARANOWSKA,17056
BŁASZCZYK,16977
ANDRZEJEWSKA,16904
KACZMARCZYK,16796
BOROWSKA,16705
CIEŚLAK,16698
GÓRECKA,16586
CHOJNACKA,16435
KANIA,16288
LESZCZYŃSKA,16247
SZCZEPANIAK,16215
