IMIĘ DRUGIE,LICZBA WYSTĄPIEŃ
MARIA,6572
ANNA,4390
ZOFIA,2131
MAGDALENA,1432
HELENA,1293
WIKTORIA,1238
KATARZYNA,1204
JULIA,1142
ALEKSANDRA,1118
EWA,1112
BARBARA,1086
MAŁGORZATA,1033
ALICJA,1027
ŁUCJA,981
ZUZANNA,851
WERONIKA,848
LAURA,815
ELŻBIETA,786
JOANNA,772
TERESA,754
AGNIESZKA,726
KAROLINA,718
NATALIA,706
EMILIA,669
MARTA,642
KRYSTYNA,639
OLIWIA,635
HANNA,633
ANTONINA,618
MAJA,572
ANASTAZJA,567
RÓŻA,538
RITA,535
MONIKA,532
JADWIGA,519
KLARA,510
JANINA,484
MICHALINA,470
MARIANNA,462
PAULINA,433
DANUTA,429
AMELIA,423
DOROTA,420
LENA,408
GABRIELA,404
IRENA,397
ANIELA,395
KINGA,361
AGATA,359
URSZULA,334
IZABELA,334
BEATA,309
PATRYCJA,306
HALINA,297
DOMINIKA,291
ROZALIA,282
WANDA,280
STEFANIA,276
JAGODA,275
POLA,275
KLAUDIA,272
LIDIA,261
JUSTYNA,254
JOLANTA,246
MARCELINA,245
KORNELIA,234
NADIA,232
KAMILA,228
STANISŁAWA,222
IGA,222
IWONA,214
LILIANA,211
SYLWIA,207
MARTYNA,204
FAUSTYNA,203
SARA,188
RENATA,179
GRAŻYNA,178
BOŻENA,176
AURELIA,172
DARIA,167
BLANKA,165
EWELINA,162
NIKOLA,161
MIA,158
MILENA,152
OLGA,141
MATYLDA,141
EDYTA,129
LUCYNA,129
ELIZA,121
ANETA,118
JÓZEFA,117
LILIANNA,116
NINA,111
ADRIANNA,110
KAJA,110
ALINA,109
CECYLIA,107
SABINA,105
ANGELIKA,103
SANDRA,103
MARZENA,94
FRANCISZKA,91
LIWIA,90
REGINA,85
APOLONIA,83
MARIOLA,81
GAJA,79
FELICJA,78
NELA,77
DIANA,73
WIOLETTA,70
JÓZEFINA,68
LEA,67
NADZIEJA,66
MIROSŁAWA,65
BOGUMIŁA,64
MELANIA,61
SOFIA,61
LUIZA,61
WIESŁAWA,60
LEOKADIA,59
MARLENA,59
BIANKA,58
ROKSANA,57
KAZIMIERA,57
KONSTANCJA,57
MALWINA,55
ADELA,54
KALINA,53
AURORA,53
ELENA,52
ANITA,51
IDA,51
DAGMARA,49
PAULA,48
EMMA,47
VICTORIA,46
BOGUSŁAWA,46
CELINA,46
IZABELLA,45
DANIELA,44
KARINA,44
JAŚMINA,43
JULIANNA,42
MARIKA,41
LUNA,41
BRONISŁAWA,40
ILONA,39
HENRYKA,39
ESTERA,37
WŁADYSŁAWA,36
OLIVIA,36
MAGDA,34
ADA,34
HONORATA,33
WIOLETA,33
ZOJA,32
HIACYNTA,32
JUDYTA,32
ROSE,31
GENOWEFA,31
VANESSA,31
SONIA,31
LILIA,31
BERNADETA,31
WALENTYNA,31
WALERIA,30
CZESŁAWA,30
OTYLIA,30
LILA,29
JULITA,28
OKTAWIA,28
ŻANETA,27
MIRIAM,27
NEL,26
NOEMI,26
OLIMPIA,25
GLORIA,25
MALINA,25
EUGENIA,25
LARA,23
INGA,23
MIRA,23
JAGNA,21
MARIIA,21
BRYGIDA,20
ANDŻELIKA,20
ELEONORA,20
SOPHIA,20
ELIZABETH,20
LUDWIKA,19
VIOLETTA,18
NICOLA,18
VIKTORIA,18
KLEMENTYNA,17
ANTONIA,16
MARIE,16
FLORENTYNA,16
ALEXANDRA,16
TATIANA,15
FILOMENA,15
SAMANTA,14
ERYKA,14
AMANDA,13
GERTRUDA,13
SOPHIE,13
-,13
ZOE,12
ZDZISŁAWA,12
INES,12
ARLETA,11
ROMA,11
LILI,11
DALIA,11
LEONIA,11
ADRIANA,11
GRACE,11
CARMEN,11
OLA,11
STELLA,11
ABIGAIL,11
NATASZA,11
TAMARA,10
